002133850 0248  L $$atrent-harrisgeorge$$dDUKEPLEAD
002138404 0248  L $$atrent-harristhaddeusmason$$dDUKEPLEAD
002138405 0248  L $$atrent-harristhaddeuswilliam$$dDUKEPLEAD
002138406 0248  L $$atrent-harristhomaspapers$$dDUKEPLEAD
002138481 0248  L $$atrent-hartalbertbushnellpapers$$dDUKEPLEAD
002138408 0248  L $$atrent-harternestabrahampapers$$dDUKEPLEAD
002138407 0248  L $$atrent-hartshornedavid$$dDUKEPLEAD
002138409 0248  L $$atrent-harveywilliamdocument$$dDUKEPLEAD
002138410 0248  L $$atrent-heberdenwilliam$$dDUKEPLEAD
002169632 0248  L $$atrent-helmholtzhermannvon$$dDUKEPLEAD
002137082 0248  L $$atrent-henrywilliam$$dDUKEPLEAD
002138411 0248  L $$atrent-henrywilliampapers$$dDUKEPLEAD
002138412 0248  L $$atrent-henslowjs$$dDUKEPLEAD
001636234 0248  L $$atrent-herbertofleasidneyherbert$$dDUKEPLEAD
002138413 0248  L $$atrent-herrgeorges$$dDUKEPLEAD
002138414 0248  L $$atrent-herseyezekieldocument$$dDUKEPLEAD
002138415 0248  L $$atrent-heurteloupnicolas$$dDUKEPLEAD
002138416 0248  L $$atrent-hibbertsamuel$$dDUKEPLEAD
001636235 0248  L $$atrent-hicksh$$dDUKEPLEAD
002138418 0248  L $$atrent-hincksthomasshawkesfordpapers$$dDUKEPLEAD
002138417 0248  L $$atrent-hitchcockedwardpapers$$dDUKEPLEAD
002138419 0248  L $$atrent-hodgehughl$$dDUKEPLEAD
002138420 0248  L $$atrent-hodgkinthomaspapers$$dDUKEPLEAD
002138421 0248  L $$atrent-hollandhenry$$dDUKEPLEAD
002138422 0248  L $$atrent-holmesoliverwendellpapers$$dDUKEPLEAD
002138423 0248  L $$atrent-holyokeedwardaugustus$$dDUKEPLEAD
002138424 0248  L $$atrent-homeeverarddocument$$dDUKEPLEAD
002138425 0248  L $$atrent-hornerkatez$$dDUKEPLEAD
002138426 0248  L $$atrent-hornerwilliame$$dDUKEPLEAD
002138427 0248  L $$atrent-horsleyvictor$$dDUKEPLEAD
002138428 0248  L $$atrent-horsleywilliam$$dDUKEPLEAD
002138429 0248  L $$atrent-hosackdavidpapers$$dDUKEPLEAD
002147982 0248  L $$atrent-houghjohn$$dDUKEPLEAD
002138474 0248  L $$atrent-howesgpapers$$dDUKEPLEAD
002138475 0248  L $$atrent-huchardh$$dDUKEPLEAD
001636236 0248  L $$atrent-hudsonellisherndon$$dDUKEPLEAD
004195254 0248  L $$atrent-hughesthomas$$dDUKEPLEAD
002138476 0248  L $$atrent-hughesthomaspapers$$dDUKEPLEAD
002138478 0248  L $$atrent-humboldtalexandervonpapers$$dDUKEPLEAD
002138477 0248  L $$atrent-humphreyasahelpapers$$dDUKEPLEAD
002143883 0248  L $$atrent-hunterjohn$$dDUKEPLEAD
001636237 0248  L $$atrent-huntharriotkesia$$dDUKEPLEAD
002138479 0248  L $$atrent-huxleythomashenry$$dDUKEPLEAD
002138480 0248  L $$atrent-hydewilliamdocument$$dDUKEPLEAD
001646078 0248  L $$atrent-hydewilliampapers$$dDUKEPLEAD
002138483 0248  L $$atrent-innesjames$$dDUKEPLEAD
002147955 0248  L $$atrent-jacksoncharlestpapers$$dDUKEPLEAD
002138484 0248  L $$atrent-jacksonhallpapers$$dDUKEPLEAD
002138488 0248  L $$atrent-jacksonjames$$dDUKEPLEAD
002138489 0248  L $$atrent-jacobimaryputnam$$dDUKEPLEAD
001646083 0248  L $$atrent-jamesonrobert$$dDUKEPLEAD
002138491 0248  L $$atrent-jayjames$$dDUKEPLEAD
002138492 0248  L $$atrent-jeffersongeoffrey$$dDUKEPLEAD
002138493 0248  L $$atrent-jeffersonthomas$$dDUKEPLEAD
002138494 0248  L $$atrent-jeffriesjohn$$dDUKEPLEAD
002138495 0248  L $$atrent-jennerhenry$$dDUKEPLEAD
002138496 0248  L $$atrent-jennerwilliampapers$$dDUKEPLEAD
002138497 0248  L $$atrent-jennisontimothylindallpapers$$dDUKEPLEAD
002138499 0248  L $$atrent-jexblakesophia$$dDUKEPLEAD
002138498 0248  L $$atrent-jobertantoinejoseph$$dDUKEPLEAD
002143885 0248  L $$atrent-jonesbencepapers$$dDUKEPLEAD
002143887 0248  L $$atrent-jonesjoseph$$dDUKEPLEAD
002160507 0248  L $$atrent-jussieuantoinelaurentdedocument$$dDUKEPLEAD
002143888 0248  L $$atrent-kaneelishakent$$dDUKEPLEAD
002143889 0248  L $$atrent-keatethomas$$dDUKEPLEAD
002119533 0248  L $$atrent-keenwilliamw$$dDUKEPLEAD
002143890 0248  L $$atrent-kellerjohanchristopherhenrikrummelhoffpapers$$dDUKEPLEAD
002143892 0248  L $$atrent-kellyhowardapapers$$dDUKEPLEAD
002143893 0248  L $$atrent-kernerjustinusandreaschristian$$dDUKEPLEAD
001646085 0248  L $$atrent-kettilbykletters$$dDUKEPLEAD
002143894 0248  L $$atrent-kirschnermartin$$dDUKEPLEAD
002143895 0248  L $$atrent-kissamricardussharpedocument$$dDUKEPLEAD
002143896 0248  L $$atrent-kitchinerwilliampapers$$dDUKEPLEAD
