original_term	cleaned_term	term_type	eadid_term_source
Trent, Josiah C. (Josiah Charles), 1914-1948	new_term	persname	trent-castiglioniarturo
History of Medicine Collections (Duke University)	new_term	corpname	trent-castiglioniarturo
Chancellor, William, -1762	new_term	persname	trent-chancellorwilliam
History of Medicine Collections (Duke University)	new_term	corpname	trent-chancellorwilliam
Chantemesse, Andre, 1851-1919	new_term	persname	trent-chantemesseandre
History of Medicine Collections (Duke University)	new_term	corpname	trent-chantemesseandre
Chapman, Nathaniel, 1780-1853	new_term	persname	trent-chapmannathaniel
History of Medicine Collections (Duke University)	new_term	corpname	trent-chapmannathaniel
Chauncy, Charles.	new_term	persname	trent-chauncycharles
History of Medicine Collections (Duke University)	new_term	corpname	trent-chauncycharles
Chelius, J. M. (Joseph Maximilian), 1794-1876	new_term	persname	trent-cheliusjm
History of Medicine Collections (Duke University)	new_term	corpname	trent-cheliusjm
Child, Theodore, 1846-1892	new_term	persname	trent-childtheodore
Duke University. Medical Center. Library. Trent Collection.	new_term	corpname	trent-childtheodore
History of Medicine Collections (Duke University)	new_term	corpname	trent-childtheodore
Chomel, A. F. (Auguste Francois), 1788-1858	new_term	persname	trent-chomelaf
History of Medicine Collections (Duke University)	new_term	corpname	trent-chomelaf
Choulant, Ludwig, 1791-1861	new_term	persname	trent-choulantludwig
History of Medicine Collections (Duke University)	new_term	corpname	trent-choulantludwig
Christie, John.	new_term	persname	trent-christiejohn
History of Medicine Collections (Duke University)	new_term	corpname	trent-christiejohn
Christie, Samuel A.	new_term	persname	trent-christiesamuela
Garfield, James A. (James Abram), 1831-1881	new_term	persname	trent-christiesamuela
History of Medicine Collections (Duke University)	new_term	corpname	trent-christiesamuela
Christison, Robert, Sir, 1797-1882	new_term	persname	trent-christisonrobert
History of Medicine Collections (Duke University)	new_term	corpname	trent-christisonrobert
Church, William Selby, 1837-1928	new_term	persname	trent-churchwilliamselby
History of Medicine Collections (Duke University)	new_term	corpname	trent-churchwilliamselby
Clark, Andrew, Sir, bart., 1826-1893	new_term	persname	trent-clarkandrew
History of Medicine Collections (Duke University)	new_term	corpname	trent-clarkandrew
Clarke, Arthur, Sir, 1778-1857	new_term	persname	trent-clarkearthur
History of Medicine Collections (Duke University)	new_term	corpname	trent-clarkearthur
History of Medicine Collections (Duke University)	new_term	corpname	trent-clarkecharlesmansfield
Clark, James, Sir, 1788-1870	new_term	persname	trent-clarkjames
History of Medicine Collections (Duke University)	new_term	corpname	trent-clarkjames
History of Medicine Collections (Duke University)	new_term	corpname	trent-cleavelandparker
History of Medicine Collections (Duke University)	new_term	corpname	trent-clinehenry
History of Medicine Collections (Duke University)	new_term	corpname	trent-cloquetjules
Ellis, Benjamin, 1798-1831	new_term	persname	trent-coatesbenjaminhornor
