Aleph_Number	RL_Number	EADID	URL	
002132131	RL.10322	trent-cabanispjg	http://library.duke.edu/rubenstein/findingaids/trent-cabanispjg/
002132132	RL.10323	trent-cabelljlpapers	http://library.duke.edu/rubenstein/findingaids/trent-cabelljlpapers/
002132133	RL.10324	trent-cadellthomasletters	http://library.duke.edu/rubenstein/findingaids/trent-cadellthomasletters/
002156027	RL.10325	trent-caldwellcharlesletters	http://library.duke.edu/rubenstein/findingaids/trent-caldwellcharlesletters/
002132134	RL.10326	trent-campbellalexander	http://library.duke.edu/rubenstein/findingaids/trent-campbellalexander/
001618138	RL.10327	trent-camperpetrus	http://library.duke.edu/rubenstein/findingaids/trent-camperpetrus/
002132135	RL.10328	trent-cappelwilhelmfriedrich	http://library.duke.edu/rubenstein/findingaids/trent-cappelwilhelmfriedrich/
002132136	RL.10329	trent-carlylejohnaitkenletters	http://library.duke.edu/rubenstein/findingaids/trent-carlylejohnaitkenletters/
002132137	RL.10330	trent-carnochanjmletters	http://library.duke.edu/rubenstein/findingaids/trent-carnochanjmletters/
002137044	RL.10331	trent-carrojoannesde	http://library.duke.edu/rubenstein/findingaids/trent-carrojoannesde/
002133845	RL.10332	trent-caruscarlgustav	http://library.duke.edu/rubenstein/findingaids/trent-caruscarlgustav/
001618139	RL.10333	trent-castellanialdoletters	http://library.duke.edu/rubenstein/findingaids/trent-castellanialdoletters/
002132142	RL.10334	trent-castiglioniarturopapers	http://library.duke.edu/rubenstein/findingaids/trent-castiglioniarturopapers/
002132140	RL.10335	trent-chancellorwilliamdocument	http://library.duke.edu/rubenstein/findingaids/trent-chancellorwilliamdocument/
002132141	RL.10336	trent-chantemesseandre	http://library.duke.edu/rubenstein/findingaids/trent-chantemesseandre/
002132138	RL.10337	trent-chapmannathanielpapers	http://library.duke.edu/rubenstein/findingaids/trent-chapmannathanielpapers/
002132139	RL.10338	trent-chauncycharles	http://library.duke.edu/rubenstein/findingaids/trent-chauncycharles/
002169148	RL.10339	trent-cheliusjm	http://library.duke.edu/rubenstein/findingaids/trent-cheliusjm/
004185772	RL.10340	trent-childtheodore	http://library.duke.edu/rubenstein/findingaids/trent-childtheodore/
